Player,Year,Age,Pos,Tm,G,MP,perf,PTS
Ian Mahinmi,2010,23,PF-C,SAS,26,165,1,101
Ime Udoka,2010,32,SG-SF,SAC,69,944,0,250
J.J. Barea,2010,25,PG,DAL,78,1546,0,596
J.J. Hickson,2010,21,PF-C,CLE,81,1691,1,689
J.J. Redick,2010,25,SG-SF,ORL,82,1808,NA,788
J.R. Giddens,2010,24,SG-SF,TOT,32,239,0,69
J.R. Smith,2010,24,SG-SF,DEN,75,2082,NA,1156
Jamaal Magloire,2010,31,PF-C,MIA,36,359,0,77
Jamaal Tinsley,2010,31,PG,MEM,38,589,0,133
Jamal Crawford,2010,29,SG-SF,ATL,79,2460,1,1425
Jamario Moon,2010,29,SG-SF,CLE,61,1052,0,296
Jameer Nelson,2010,27,PG,ORL,65,1860,1,818
James Harden,2010,20,SG-SF,OKC,76,1738,0,753
James Johnson,2010,22,PF-C,CHI,65,757,0,256
James Jones,2010,29,SG-SF,MIA,36,503,0,146
James Posey,2010,33,SG-SF,NOH,77,1731,0,399
James Singleton,2010,28,SG-SF,TOT,57,977,0,254
Jannero Pargo,2010,30,PG,CHI,63,829,0,344
Jared Dudley,2010,24,SG-SF,PHO,82,1991,0,674
Jared Jeffries,2010,28,SG-SF,TOT,70,1794,0,372
Jarrett Jack,2010,26,PG,TOR,82,2243,1,931
Jarvis Hayes,2010,28,SG-SF,NJN,45,1033,0,350
Jason Kapono,2010,28,SG-SF,PHI,57,976,0,324
Jason Kidd,2010,36,PG,DAL,80,2881,1,824
Jason Maxiell,2010,26,PF-C,DET,76,1550,0,513
Jason Richardson,2010,29,SG-SF,PHO,79,2485,1,1239
Jason Smith,2010,23,PF-C,PHI,56,658,0,189
Jason Terry,2010,32,SG-SF,DAL,77,2540,1,1280
Jason Thompson,2010,23,PF-C,SAC,75,2357,0,939
Jason Williams,2010,34,PG,ORL,82,1703,0,493
JaVale McGee,2010,22,PF-C,WAS,60,968,1,386
Jawad Williams,2010,26,PG,CLE,54,742,0,224
Jeff Ayres,2010,22,PF-C,POR,39,405,0,104
Jeff Green,2010,23,PF-C,OKC,82,3043,0,1239
Jeff Teague,2010,21,PG,ATL,71,719,0,228
Jermaine O'Neal,2010,31,PF-C,MIA,70,1991,1,950
Jermaine Taylor,2010,23,SG-SF,HOU,31,303,0,128
Jerry Stackhouse,2010,35,SG-SF,MIL,42,855,0,358
Jerryd Bayless,2010,21,SG-SF,POR,74,1304,0,630
Joakim Noah,2010,24,PF-C,CHI,64,1925,1,687
Jodie Meeks,2010,22,SG-SF,TOT,60,719,0,281
Joe Johnson,2010,28,SG-SF,ATL,76,2886,1,1619
Joe Smith,2010,34,PF-C,ATL,64,592,0,194
Joel Anthony,2010,27,PF-C,MIA,80,1322,0,218
Joel Przybilla,2010,30,PF-C,POR,30,681,0,123
Joey Graham,2010,27,SG-SF,DEN,63,759,0,266
Johan Petro,2010,24,PF-C,DEN,36,436,0,122
John Salmons,2010,30,SG-SF,TOT,81,2824,0,1245
Jon Brockman,2010,22,PF-C,SAC,52,654,0,147
Jonas Jerebko,2010,22,PF-C,DET,80,2232,0,741
Jonathan Bender,2010,29,SG-SF,NYK,25,292,0,118
Jonny Flynn,2010,20,PG,MIN,81,2339,0,1094
Jordan Farmar,2010,23,PG,LAL,82,1474,0,591
Jordan Hill,2010,22,PF-C,TOT,47,624,NA,244
Jose Calderon,2010,28,PG,TOR,68,1817,1,699
Josh Boone,2010,25,PF-C,NJN,63,1045,0,253
Josh Howard,2010,29,SG-SF,TOT,35,918,0,446
Josh McRoberts,2010,22,PF-C,IND,42,524,0,179
Josh Powell,2010,27,PF-C,LAL,63,581,0,169
Josh Smith,2010,24,PF-C,ATL,81,2871,1,1269
Jrue Holiday,2010,19,PG,PHI,73,1767,0,587
Julian Wright,2010,22,SG-SF,NOH,68,871,0,259
Juwan Howard,2010,36,PF-C,POR,73,1632,0,437
Keith Bogans,2010,29,SG-SF,SAS,79,1559,0,347
Kelenna Azubuike,2010,26,SG-SF,GSW,9,231,1,125
Kendrick Perkins,2010,25,PF-C,BOS,78,2154,NA,791
Kenyon Martin,2010,32,PF-C,DEN,58,1986,0,667
Kevin Durant,2010,21,SG-SF,OKC,82,3239,1,2472
Kevin Garnett,2010,33,PF-C,BOS,69,2060,1,990
Kevin Love,2010,21,PF-C,MIN,60,1714,1,842
Kevin Martin,2010,26,SG-SF,TOT,46,1633,1,946
